id,Category
1081,mexican
1082,chinese
1086,mexican
1096,mexican
1100,mexican
1126,mexican
1136,mexican
1145,indian
1149,chinese
1155,japanese
1159,russian
1163,indian
1167,mexican
1171,mexican
1175,southern_us
1178,cajun_creole
1182,italian
1187,mexican
1188,cajun_creole
1199,mexican
1207,korean
1212,italian
1213,southern_us
1220,french
1227,indian
1228,vietnamese
1229,cajun_creole
1235,filipino
1244,irish
1247,indian
1248,indian
1265,italian
1273,cajun_creole
1275,french
1276,thai
1279,indian
1281,irish
1282,italian
1288,filipino
1296,italian
1302,jamaican
1304,french
1309,italian
1310,british
1316,mexican
1334,french
1340,french
1346,greek
1355,chinese
1357,greek
1369,greek
1378,cajun_creole
1380,cajun_creole
1390,french
1392,cajun_creole
1415,southern_us
1420,italian
1421,italian
1426,southern_us
1433,mexican
1436,japanese
1439,mexican
1448,mexican
1452,italian
1460,italian
1468,chinese
1471,french
1473,irish
1477,italian
1489,italian
1493,spanish
1502,southern_us
1507,japanese
1509,korean
1510,filipino
1511,french
1512,mexican
1514,southern_us
1515,mexican
1522,southern_us
1528,mexican
1538,mexican
1542,italian
1545,southern_us
1546,mexican
1558,japanese
1559,greek
1562,italian
1564,moroccan
1565,mexican
1567,indian
1571,french
1574,italian
1575,mexican
1577,italian
1579,french
1581,indian
1585,southern_us
1589,southern_us
1594,southern_us
1595,moroccan
1601,southern_us
1604,mexican
1605,southern_us
1609,moroccan
1616,irish
1617,southern_us
1622,mexican
1625,cajun_creole
1637,korean
1639,southern_us
1641,indian
1642,cajun_creole
1643,italian
1644,french
1648,italian
1657,italian
1659,french
1672,indian
1673,italian
1678,southern_us
1685,french
1686,french
1690,southern_us
1691,italian
1694,japanese
1696,italian
1703,british
1707,thai
1709,mexican
1711,indian
1716,thai
1718,italian
1720,japanese
1724,mexican
1730,mexican
1731,filipino
1736,italian
1737,spanish
1744,chinese
1748,southern_us
1753,indian
1756,japanese
1762,mexican
1763,italian
1767,italian
1771,italian
1772,mexican
1773,italian
1777,italian
1779,chinese
1783,mexican
1790,chinese
1791,italian
1802,indian
1803,indian
1810,mexican
1812,southern_us
1816,cajun_creole
1821,indian
1829,italian
1832,japanese
1834,southern_us
1851,french
1853,italian
1859,mexican
1865,italian
1869,mexican
1870,southern_us
1873,italian
1882,french
1889,italian
1892,mexican
1899,chinese
1901,italian
1912,chinese
1916,french
1922,italian
1928,southern_us
1940,chinese
1945,southern_us
1950,italian
1951,italian
1954,mexican
1962,italian
1964,italian
1966,mexican
1970,indian
1972,mexican
2001,indian
2003,mexican
2006,indian
2007,italian
2009,mexican
2010,italian
2011,italian
2017,vietnamese
2018,filipino
2020,french
2022,italian
2024,greek
2026,southern_us
2033,mexican
2039,southern_us
2044,southern_us
2050,italian
2054,mexican
2057,mexican
2064,thai
2068,mexican
2070,greek
2072,french
2079,korean
2080,chinese
2096,thai
2109,spanish
2116,mexican
2124,italian
2125,southern_us
2127,cajun_creole
2132,southern_us
2134,southern_us
2148,french
2153,mexican
2158,thai
2160,cajun_creole
2167,mexican
2169,mexican
2170,southern_us
2172,mexican
2173,italian
2176,chinese
2177,italian
2180,moroccan
2194,mexican
2195,greek
2199,indian
2202,mexican
2205,jamaican
2207,indian
2213,mexican
2219,italian
2225,southern_us
2227,mexican
2230,southern_us
2233,moroccan
2234,thai
2240,southern_us
2246,japanese
2250,japanese
2256,filipino
2257,french
2260,italian
2267,british
2270,italian
2273,southern_us
2276,mexican
2282,southern_us
2283,mexican
2288,chinese
2292,italian
2296,british
2297,british
2298,mexican
2305,southern_us
2306,chinese
2307,mexican
2309,mexican
2310,cajun_creole
2311,mexican
2312,thai
2313,japanese
2318,southern_us
2320,chinese
2327,mexican
2333,chinese
2342,french
2346,mexican
2349,italian
2351,indian
2357,italian
2378,indian
2382,mexican
2383,italian
2386,filipino
2387,mexican
2402,italian
2403,vietnamese
2412,mexican
2414,southern_us
2417,indian
2420,italian
2428,french
2430,indian
2432,southern_us
2433,irish
2435,chinese
2439,indian
2446,mexican
2449,southern_us
2453,mexican
2455,mexican
2463,mexican
2470,japanese
2472,korean
2487,indian
2508,indian
2514,italian
2518,french
2521,french
2523,southern_us
2525,moroccan
2531,southern_us
2534,french
2540,greek
2545,southern_us
2555,greek
2558,italian
2571,indian
2572,southern_us
2574,southern_us
2591,italian
2594,chinese
2595,italian
2599,vietnamese
2602,italian
2603,chinese
2605,mexican
2609,italian
2611,italian
2617,greek
2620,chinese
2621,southern_us
2624,vietnamese
2627,southern_us
2638,indian
2641,mexican
2647,mexican
2650,french
2651,southern_us
2654,mexican
2656,vietnamese
2659,italian
2662,indian
2668,moroccan
2671,british
2672,mexican
2677,irish
2679,italian
2691,italian
2693,italian
2699,southern_us
2700,mexican
2704,italian
2705,italian
2707,french
2712,mexican
2715,italian
2722,moroccan
2729,southern_us
2731,spanish
2733,mexican
2734,chinese
2738,mexican
2741,spanish
2744,italian
2745,southern_us
2748,chinese
2756,french
2760,italian
2764,french
2765,mexican
2767,southern_us
2773,italian
2778,italian
2783,thai
2785,italian
2788,french
2795,italian
2797,japanese
2806,cajun_creole
2808,italian
2813,southern_us
2816,mexican
2817,chinese
2821,chinese
2832,chinese
2834,southern_us
2837,italian
2843,indian
2844,italian
2865,french
2873,spanish
2879,italian
2887,italian
2889,italian
2894,italian
2896,italian
2898,french
2899,southern_us
2901,italian
2907,spanish
2914,japanese
2915,moroccan
2919,indian
2921,mexican
2930,italian
2932,japanese
2948,mexican
2953,japanese
2956,mexican
2960,mexican
2969,mexican
2972,italian
2975,chinese
2976,italian
2977,southern_us
2980,indian
2982,italian
2992,italian
2997,greek
3003,chinese
3018,filipino
3028,italian
3032,southern_us
3036,italian
3037,mexican
3040,southern_us
3046,southern_us
3051,indian
3054,chinese
3059,italian
3060,thai
3071,italian
3073,mexican
3081,french
3083,french
3084,moroccan
3095,moroccan
3099,filipino
3107,italian
3109,italian
3113,southern_us
3115,southern_us
3118,southern_us
3121,italian
3134,spanish
3139,italian
3140,french
3149,southern_us
3155,chinese
3172,jamaican
3179,mexican
3182,japanese
3188,indian
3212,italian
3213,southern_us
3216,southern_us
3223,chinese
3232,mexican
3238,japanese
3245,italian
3247,vietnamese
3248,mexican
3250,french
3255,indian
3266,moroccan
3268,southern_us
3272,vietnamese
3275,french
3279,french
3288,cajun_creole
3289,italian
3297,french
3298,southern_us
3299,chinese
3300,italian
3304,moroccan
3311,mexican
3318,japanese
3331,spanish
3333,mexican
3336,spanish
3339,indian
3340,greek
3345,brazilian
3356,italian
3366,italian
3370,spanish
3371,chinese
3373,southern_us
3376,southern_us
3378,thai
3380,greek
3385,mexican
3391,cajun_creole
3398,mexican
3407,spanish
3409,italian
3411,mexican
3412,italian
3413,cajun_creole
3426,mexican
3430,italian
3437,cajun_creole
3443,mexican
3446,italian
3448,indian
3449,filipino
3450,korean
3452,french
3464,italian
3468,filipino
3492,italian
3496,indian
3500,southern_us
3505,italian
3508,italian
3510,italian
3511,thai
3516,italian
3517,italian
3518,mexican
3525,french
3530,mexican
3534,french
3538,filipino
3540,spanish
3546,southern_us
3550,southern_us
3552,mexican
3559,italian
3566,indian
3568,mexican
3570,indian
3573,korean
3577,mexican
3581,korean
3586,french
3588,italian
3590,italian
3594,southern_us
3599,chinese
3601,italian
3602,southern_us
3604,french
3609,italian
3614,italian
3615,mexican
3618,southern_us
3627,italian
3632,italian
3637,indian
3639,cajun_creole
3644,italian
3647,mexican
3649,italian
3653,italian
3658,vietnamese
3668,japanese
3670,southern_us
3672,mexican
3674,moroccan
3679,italian
3683,mexican
3691,southern_us
3697,mexican
3698,japanese
3710,italian
3727,mexican
3730,thai
3732,cajun_creole
3735,italian
3740,greek
3745,indian
3748,italian
3750,mexican
3751,japanese
3754,indian
3756,french
3758,italian
3763,southern_us
3766,thai
3768,southern_us
3772,italian
3780,italian
3786,spanish
3787,southern_us
3788,mexican
3791,indian
3800,southern_us
3808,mexican
3811,indian
3814,southern_us
3815,southern_us
3823,italian
3827,mexican
3829,spanish
3831,mexican
3833,mexican
3834,italian
3839,italian
3841,mexican
3848,chinese
3849,southern_us
3851,italian
3852,italian
3853,chinese
3855,french
3857,indian
3862,italian
3868,southern_us
3872,mexican
3874,indian
3878,italian
3882,italian
3883,mexican
3888,italian
3901,cajun_creole
3907,chinese
3916,southern_us
3918,korean
3922,french
3934,mexican
3939,thai
3946,mexican
3951,italian
3956,italian
3957,mexican
3961,irish
3962,chinese
3968,southern_us
3978,japanese
3981,italian
3983,southern_us
4010,southern_us
4012,italian
4015,mexican
4018,italian
4028,japanese
4031,italian
4038,italian
4040,indian
4043,indian
4047,japanese
4062,mexican
4073,southern_us
4080,mexican
4094,korean
4098,thai
4100,mexican
4105,southern_us
4107,indian
4108,southern_us
4118,southern_us
4131,indian
4132,italian
4141,moroccan
4142,french
4149,mexican
4151,greek
4198,chinese
4207,chinese
4208,indian
4210,mexican
4230,italian
4241,italian
4245,mexican
4259,british
4260,southern_us
4264,mexican
4268,thai
4274,italian
4278,italian
4281,southern_us
4298,italian
4300,mexican
4303,japanese
4304,southern_us
4313,southern_us
4315,italian
4326,italian
4333,mexican
4343,southern_us
4344,french
4348,thai
4349,italian
4355,irish
4357,southern_us
4362,italian
4378,french
4391,moroccan
4392,chinese
4394,southern_us
4400,italian
4403,mexican
4409,indian
4414,korean
4422,thai
4429,french
4433,southern_us
4438,chinese
4440,filipino
4441,indian
4444,southern_us
4448,southern_us
4455,italian
4459,italian
4463,indian
4467,italian
4472,italian
4490,vietnamese
4494,chinese
4498,mexican
4499,indian
4509,cajun_creole
4515,cajun_creole
4519,chinese
4521,spanish
4524,mexican
4525,italian
4528,mexican
4530,mexican
4535,mexican
4541,chinese
4544,french
4555,indian
4557,french
4558,italian
4560,french
4566,korean
4568,italian
4573,french
4574,japanese
4575,italian
4578,thai
4587,indian
4602,jamaican
4606,mexican
4611,southern_us
4614,chinese
4617,italian
4628,southern_us
4630,mexican
4634,spanish
4639,mexican
4647,french
4660,french
4663,jamaican
4666,greek
4676,chinese
4684,italian
4692,japanese
4696,southern_us
4697,southern_us
4709,italian
4711,mexican
4714,british
4716,greek
4718,chinese
4720,greek
4726,japanese
4741,cajun_creole
4745,italian
4746,italian
4755,southern_us
4762,southern_us
4765,mexican
4785,italian
4788,southern_us
4789,italian
4795,mexican
4800,jamaican
4803,russian
4810,italian
4813,greek
4827,mexican
4830,italian
4839,mexican
4843,italian
4848,vietnamese
4852,italian
4853,italian
4854,southern_us
4863,thai
4866,japanese
4873,cajun_creole
4888,southern_us
4890,moroccan
4891,mexican
4900,italian
4901,italian
4905,french
4912,southern_us
4917,french
4918,southern_us
4919,southern_us
4926,italian
4930,southern_us
4931,indian
4934,italian
4935,italian
4937,thai
4938,mexican
4939,italian
4947,mexican
4954,greek
4963,southern_us
4965,italian
4967,mexican
4969,french
4976,mexican
4979,japanese
4983,british
4985,french
4991,mexican
4993,southern_us
4996,southern_us
4997,italian
4999,chinese
5001,british
5014,french
5021,chinese
5029,mexican
5032,italian
5036,thai
5040,mexican
5042,brazilian
5046,korean
5050,southern_us
5058,italian
5064,italian
5066,french
5067,italian
5069,mexican
5073,italian
5083,italian
5084,mexican
5093,cajun_creole
5095,chinese
5098,southern_us
5108,italian
5109,mexican
5117,indian
5119,indian
5120,british
5121,italian
5123,korean
5144,italian
5146,chinese
5149,japanese
5162,chinese
5164,italian
5166,italian
5167,southern_us
5168,italian
5178,french
5179,mexican
5194,southern_us
5196,russian
5207,chinese
5210,southern_us
5216,mexican
5220,southern_us
5227,mexican
5228,italian
5230,italian
5232,italian
5235,mexican
5240,korean
5244,mexican
5250,mexican
5254,japanese
5259,spanish
5263,southern_us
5273,thai
5281,french
5297,southern_us
5298,chinese
5302,chinese
5303,irish
5307,french
5315,italian
5316,mexican
5329,southern_us
5334,italian
5338,southern_us
5346,mexican
5356,cajun_creole
5364,mexican
5366,chinese
5376,southern_us
5378,mexican
5379,southern_us
5382,mexican
5385,italian
5391,southern_us
5394,italian
5402,italian
5408,southern_us
5409,italian
5410,italian
5414,mexican
5416,japanese
5422,spanish
5423,italian
5426,chinese
5427,chinese
5433,italian
5435,chinese
5440,italian
5441,southern_us
5448,mexican
5460,cajun_creole
5462,russian
5463,mexican
5473,southern_us
5481,mexican
5485,italian
5492,mexican
5493,indian
5494,mexican
5496,mexican
5505,indian
5510,french
5511,italian
5517,indian
5522,french
5523,italian
5524,mexican
5525,italian
5529,vietnamese
5537,mexican
5541,greek
5543,italian
5552,cajun_creole
5557,italian
5572,indian
5576,brazilian
5598,indian
5599,southern_us
5601,italian
5609,vietnamese
5611,korean
5613,mexican
5614,french
5616,italian
5623,mexican
5624,italian
5633,southern_us
5638,mexican
5644,italian
5653,chinese
5661,korean
5665,southern_us
5679,japanese
5682,italian
5684,southern_us
5691,korean
5699,french
5708,southern_us
5709,chinese
5711,italian
5718,indian
5732,chinese
5739,mexican
5742,greek
5743,southern_us
5745,mexican
5746,chinese
5747,indian
5753,italian
5754,vietnamese
5761,french
5764,french
5765,southern_us
5769,indian
5779,cajun_creole
5781,southern_us
5789,italian
5790,mexican
5796,french
5808,italian
5810,mexican
5815,mexican
5821,southern_us
5826,southern_us
5828,mexican
5829,mexican
5830,southern_us
5834,italian
5848,thai
5853,spanish
5854,french
5856,spanish
5858,mexican
5869,italian
5876,italian
5877,chinese
5879,italian
5880,french
5894,italian
5896,italian
5903,southern_us
5906,mexican
5910,italian
5916,japanese
5921,japanese
5931,cajun_creole
5962,mexican
5964,italian
5966,southern_us
5967,italian
5969,mexican
5972,italian
5976,spanish
5977,italian
5979,italian
5983,indian
5986,italian
5991,italian
5992,southern_us
5994,jamaican
6005,chinese
6010,italian
6011,italian
6012,brazilian
6029,southern_us
6040,mexican
6045,mexican
6052,japanese
6067,korean
6075,italian
6080,french
6088,spanish
6095,chinese
6096,french
6099,french
6106,thai
6114,irish
6118,mexican
6121,chinese
6125,italian
6126,korean
6135,italian
6146,mexican
6152,thai
6158,cajun_creole
6164,thai
6169,southern_us
6175,italian
6178,mexican
6180,filipino
6184,indian
6187,indian
6188,italian
6190,chinese
6198,southern_us
6199,southern_us
6207,russian
6222,brazilian
6225,mexican
6226,italian
6228,mexican
6232,italian
6244,indian
6245,korean
6252,southern_us
6266,mexican
6276,italian
6289,italian
6292,french
6299,cajun_creole
6304,french
6307,italian
6310,indian
6311,chinese
6313,french
6321,french
6322,mexican
6335,italian
6337,italian
6367,japanese
6375,mexican
6388,mexican
6392,thai
6402,mexican
6407,mexican
6408,indian
6412,mexican
6420,vietnamese
6422,french
6423,moroccan
6425,mexican
6429,indian
6433,mexican
6436,italian
6440,chinese
6442,italian
6445,mexican
6450,indian
6455,french
6461,southern_us
6463,mexican
6464,italian
6470,indian
6473,italian
6474,thai
6475,italian
6492,japanese
6498,italian
6503,italian
6509,thai
6510,southern_us
6526,italian
6527,korean
6530,chinese
6534,southern_us
6539,italian
6541,russian
6542,korean
6547,mexican
6552,italian
6554,cajun_creole
6555,italian
6564,indian
6575,greek
6581,french
6584,spanish
6596,cajun_creole
6599,mexican
6601,mexican
6602,southern_us
6608,indian
6611,mexican
6615,italian
6622,italian
6630,southern_us
6632,italian
6635,italian
6636,italian
6638,mexican
6639,italian
6641,japanese
6649,japanese
6652,southern_us
6653,indian
6665,southern_us
6668,mexican
6672,mexican
6676,italian
6677,italian
6681,french
6690,italian
6693,mexican
6697,italian
6701,moroccan
6712,mexican
6714,cajun_creole
6717,southern_us
6718,mexican
6721,indian
6722,mexican
6724,japanese
6726,cajun_creole
6732,italian
6741,southern_us
6746,italian
6761,mexican
6763,filipino
6776,southern_us
6784,mexican
6787,italian
6798,korean
6800,italian
6812,italian
6815,italian
6822,indian
6823,italian
6824,italian
6825,cajun_creole
6839,mexican
6841,italian
6842,southern_us
6858,mexican
6867,mexican
6869,french
6870,spanish
6872,mexican
6874,mexican
6877,italian
6878,southern_us
6881,southern_us
6883,mexican
6887,italian
6890,chinese
6898,italian
6902,chinese
6916,mexican
6921,chinese
6926,greek
6938,indian
6950,mexican
6954,italian
6964,italian
6966,greek
6974,italian
6975,mexican
6985,italian
6987,thai
6990,french
6992,italian
6994,italian
6996,mexican
7005,thai
7022,chinese
7035,indian
7036,italian
7037,french
7038,spanish
7041,cajun_creole
7044,cajun_creole
7045,thai
7056,italian
7057,french
7059,italian
7064,southern_us
7068,italian
7070,japanese
7071,indian
7074,italian
7076,brazilian
7079,french
7081,french
7083,japanese
7088,japanese
7090,chinese
7091,cajun_creole
7094,japanese
7096,southern_us
7102,french
7109,indian
7110,italian
7111,mexican
7112,italian
7115,greek
7128,indian
7130,greek
7143,thai
7146,mexican
7149,mexican
7169,chinese
7171,indian
7172,mexican
7180,thai
7192,mexican
7199,filipino
7200,mexican
7202,italian
7221,southern_us
7228,french
7231,indian
7243,moroccan
7245,mexican
7248,italian
7250,thai
7267,thai
7272,mexican
7279,southern_us
7284,mexican
7290,southern_us
7293,chinese
7298,thai
7300,vietnamese
7301,french
7304,cajun_creole
7308,italian
7320,chinese
7322,spanish
7326,mexican
7332,italian
7333,japanese
7334,southern_us
7345,french
7346,southern_us
7351,mexican
7362,mexican
7363,italian
7366,italian
7374,italian
7383,chinese
7387,russian
7390,french
7394,italian
7403,indian
7409,italian
7410,southern_us
7413,mexican
7414,french
7417,chinese
7420,italian
7422,french
7431,russian
7434,southern_us
7435,indian
7440,indian
7441,brazilian
7449,southern_us
7453,indian
7454,southern_us
7456,cajun_creole
7458,italian
7459,mexican
7460,mexican
7465,cajun_creole
7469,mexican
7470,moroccan
7486,italian
7492,thai
7499,greek
7501,italian
7504,italian
7506,vietnamese
7514,southern_us
7517,southern_us
7529,french
7546,filipino
7550,irish
7567,french
7570,thai
7578,italian
7583,korean
7593,italian
7597,italian
7598,indian
7603,southern_us
7620,italian
7627,japanese
7634,mexican
7638,italian
7644,italian
7648,indian
7650,mexican
7652,southern_us
7658,russian
7667,italian
7668,indian
7672,southern_us
7673,southern_us
7681,southern_us
7682,filipino
7683,mexican
7687,mexican
7688,southern_us
7695,thai
7696,chinese
7703,mexican
7707,russian
7718,southern_us
7721,italian
7723,italian
7725,mexican
7732,italian
7736,italian
7738,italian
7741,chinese
7743,italian
7748,japanese
7749,italian
7757,italian
7767,greek
7771,mexican
7772,italian
7777,thai
7778,chinese
7780,moroccan
7781,italian
7793,italian
7807,southern_us
7810,filipino
7813,italian
7814,greek
7827,mexican
7828,irish
7830,indian
7832,italian
7845,thai
7848,greek
7857,french
7859,japanese
7869,mexican
7871,indian
7875,thai
7879,chinese
7883,spanish
7884,indian
7885,mexican
7893,british
7897,french
7900,japanese
7902,irish
7905,southern_us
7907,italian
7909,indian
7919,jamaican
7923,italian
7924,mexican
7930,indian
7933,brazilian
7940,japanese
7950,korean
7954,chinese
7961,japanese
7971,southern_us
7981,thai
7986,southern_us
7990,southern_us
7992,southern_us
7995,mexican
7998,vietnamese
8001,british
8009,vietnamese
8012,southern_us
8015,mexican
8019,mexican
8037,vietnamese
8039,mexican
8041,mexican
8045,chinese
8050,chinese
8055,jamaican
8074,italian
8078,brazilian
8083,southern_us
8085,italian
8090,french
8097,italian
8100,indian
8102,italian
8106,chinese
8107,italian
8108,southern_us
8112,indian
8114,italian
8115,vietnamese
8126,japanese
8130,chinese
8132,mexican
8135,mexican
8138,spanish
8139,italian
8142,mexican
8146,mexican
8148,mexican
8149,french
8156,italian
8158,japanese
8166,italian
8169,vietnamese
8176,italian
8180,french
8183,japanese
8185,mexican
8188,southern_us
8193,french
8198,southern_us
8199,chinese
8206,southern_us
8208,italian
8220,italian
8223,mexican
8237,italian
8242,italian
8254,italian
8258,southern_us
8260,mexican
8261,mexican
8262,indian
8271,mexican
8273,southern_us
8294,chinese
8299,japanese
8308,italian
8312,indian
8316,mexican
8326,italian
8327,italian
8329,cajun_creole
8330,italian
8334,cajun_creole
8349,mexican
8358,french
8360,mexican
8369,southern_us
8371,mexican
8389,mexican
8400,indian
8404,mexican
8407,cajun_creole
8422,mexican
8431,jamaican
8441,filipino
8443,southern_us
8455,mexican
8456,filipino
8460,french
8467,mexican
8474,cajun_creole
8483,cajun_creole
8485,italian
8486,italian
8488,mexican
8492,italian
8501,italian
8502,french
8507,italian
8508,spanish
8510,mexican
8512,indian
8514,french
8515,chinese
8521,mexican
8522,indian
8524,chinese
8525,cajun_creole
8528,italian
8533,italian
8542,southern_us
8545,southern_us
8549,japanese
8550,french
8551,southern_us
8554,greek
8568,italian
8570,thai
8574,southern_us
8578,italian
8582,chinese
8583,southern_us
8586,mexican
8592,southern_us
8602,french
8606,greek
8625,mexican
8626,indian
8628,indian
8630,southern_us
8632,japanese
8636,korean
8643,spanish
8646,mexican
8647,italian
8650,italian
8657,italian
8661,italian
8684,korean
8687,thai
8688,japanese
8690,mexican
8692,vietnamese
8696,mexican
8706,mexican
8707,chinese
8714,indian
8718,greek
8720,mexican
8727,italian
8733,southern_us
8735,french
8740,italian
8743,indian
8755,moroccan
8757,italian
8759,mexican
8761,italian
8764,mexican
8767,southern_us
8771,southern_us
8776,mexican
8780,french
8782,chinese
8788,mexican
8789,mexican
8791,french
8793,indian
8794,italian
8797,korean
8798,mexican
8803,japanese
8804,italian
8805,chinese
8808,indian
8811,cajun_creole
8815,spanish
8823,chinese
8829,french
8832,mexican
8834,indian
8847,mexican
8852,italian
8860,italian
8871,vietnamese
8875,italian
8880,french
8884,irish
8885,russian
8886,indian
8887,thai
8889,filipino
8892,chinese
8894,italian
8899,french
8901,thai
8907,french
8908,cajun_creole
8913,filipino
8914,mexican
8927,italian
8928,filipino
8936,japanese
8939,mexican
8940,mexican
8941,italian
8945,chinese
8952,chinese
8962,mexican
8964,southern_us
8966,thai
8967,thai
8969,russian
8974,chinese
8982,italian
8992,cajun_creole
8994,thai
8995,mexican
8997,mexican
8998,southern_us
8999,mexican
9002,southern_us
9008,italian
9009,italian
9017,mexican
9025,italian
9034,italian
9036,southern_us
9040,thai
9042,italian
9049,thai
9052,italian
9064,italian
9066,vietnamese
9068,mexican
9072,french
9073,italian
9077,chinese
9082,vietnamese
9083,greek
9087,indian
9088,brazilian
9089,southern_us
9092,mexican
9100,italian
9107,chinese
9112,indian
9115,italian
9132,russian
9135,french
9137,chinese
9140,mexican
9146,mexican
9152,italian
9158,greek
9159,chinese
9160,thai
9167,southern_us
9174,thai
9176,mexican
9192,thai
9196,mexican
9197,chinese
9198,italian
9205,thai
9209,mexican
9237,french
9238,thai
9250,mexican
9270,chinese
9277,filipino
9295,vietnamese
9296,chinese
9303,japanese
9327,british
9329,brazilian
9332,indian
9338,jamaican
9351,mexican
9354,mexican
9356,italian
9357,mexican
9359,mexican
9364,indian
9371,italian
9372,french
9375,greek
9376,mexican
9377,southern_us
9381,mexican
9382,italian
9384,irish
9386,greek
9388,filipino
9389,irish
9393,italian
9394,mexican
9402,southern_us
9403,cajun_creole
9408,cajun_creole
9414,french
9415,italian
9416,chinese
9421,southern_us
9440,irish
9441,jamaican
9445,italian
9450,mexican
9451,chinese
9463,cajun_creole
9464,cajun_creole
9465,italian
9466,moroccan
9471,cajun_creole
9478,greek
9484,italian
9486,mexican
9495,italian
9497,chinese
9501,moroccan
9508,southern_us
9509,southern_us
9514,korean
9518,italian
9521,cajun_creole
9524,chinese
9536,italian
9553,italian
9557,mexican
9579,chinese
9580,italian
9588,russian
9592,italian
9597,italian
9599,vietnamese
9600,italian
9605,mexican
9618,italian
9633,indian
9637,italian
9639,chinese
9640,indian
9646,indian
9647,french
9648,greek
9651,mexican
9656,southern_us
9661,korean
9668,greek
9669,mexican
9673,mexican
9685,southern_us
9692,greek
9711,british
9728,filipino
9729,southern_us
9733,italian
9740,southern_us
9741,thai
9744,chinese
9746,southern_us
9754,chinese
9766,french
9776,brazilian
9777,russian
9781,mexican
9783,chinese
9790,mexican
9795,french
9800,italian
9812,indian
9813,southern_us
9815,mexican
9819,italian
9829,mexican
9834,vietnamese
9844,mexican
9846,brazilian
9855,italian
9862,french
9870,italian
9874,southern_us
9882,irish
9884,southern_us
9890,mexican
9892,mexican
9894,italian
9895,mexican
9898,mexican
9907,french
9916,southern_us
9922,mexican
9923,mexican
9926,filipino
9927,mexican
9930,spanish
9932,indian
9934,french
9936,chinese
9946,italian
9954,southern_us
9955,italian
9957,mexican
9962,french
9963,spanish
9964,italian
9966,italian
9971,mexican
9972,cajun_creole
9975,cajun_creole
9978,italian
9981,cajun_creole
9984,italian
9987,french
9989,southern_us
9997,french
9999,italian
10009,french
10014,thai
10016,southern_us
10017,chinese
10018,mexican
10027,mexican
10037,thai
10039,korean
10041,southern_us
10054,spanish
10062,southern_us
10063,mexican
10064,chinese
10076,italian
10079,southern_us
10082,spanish
10083,italian
10085,french
10087,japanese
10089,indian
10091,italian
10094,moroccan
10103,french
10104,indian
10121,italian
10122,italian
10124,southern_us
10125,italian
10131,indian
10139,southern_us
10142,spanish
10144,mexican
10152,mexican
10165,italian
10169,french
10174,southern_us
10176,indian
10192,greek
10194,italian
10198,thai
10199,spanish
10205,mexican
10207,french
10221,italian
10224,indian
10227,indian
10232,chinese
10244,spanish
10246,spanish
10251,french
10254,chinese
10257,italian
10259,greek
10263,vietnamese
10264,italian
10265,indian
10273,chinese
10275,southern_us
10277,italian
10278,french
10283,brazilian
